group	x	y
1	2	83.6842105263158
1	4	91.9298245614035
1	6	92.6315789473684
1	8	90.7017543859649
1	10	92.280701754386
1	12	92.280701754386
1	14	92.280701754386
1	16	92.280701754386
1	18	92.4561403508772
1	20	92.4561403508772
1	25	92.4561403508772
1	30	92.4561403508772
1	31.4	92.4561403508772
1	31.4	93.1578947368421
1	31.4	93.1578947368421
1	31.4	93.1578947368421
1	31.4	93.1578947368421
1	31.4	93.1578947368421
2	4	94.3859649122807
2	6	92.1929824561404
2	8	92.5438596491228
2	10	92.5438596491228
2	12	92.6315789473684
2	14	96.4912280701754
2	16	97.0175438596491
2	18	97.0175438596491
2	20	97.0175438596491
2	25	96.8421052631579
2	30	96.140350877193
2	31.4	96.3157894736842
2	31.4	96.6666666666667
2	31.4	96.3157894736842
2	31.4	96.4912280701754
2	31.4	96.140350877193
2	31.4	95.7894736842105
3	2	92.4561403508772
3	4	94.2105263157895
3	6	90.8771929824561
3	8	91.4035087719298
3	10	91.9298245614035
3	12	90.5263157894737
3	14	91.0526315789474
3	16	91.9298245614035
3	18	92.6315789473684
3	20	94.2105263157895
3	25	95.7894736842105
3	30	95.7894736842105
3	31.4	96.3157894736842
3	31.4	96.3157894736842
3	31.4	96.4912280701754
3	31.4	96.4912280701754
3	31.4	96.4912280701754
3	31.4	96.4912280701754
4	2	92.4561403508772
4	4	90.1754385964912
4	6	93.1578947368421
4	8	93.859649122807
4	10	93.859649122807
4	12	93.5087719298246
4	14	93.5087719298246
4	16	92.4561403508772
4	18	96.6666666666667
4	20	96.6666666666667
4	25	97.3684210526316
4	30	97.5438596491228
4	31.4	97.5438596491228
4	31.4	97.8947368421053
4	31.4	97.8947368421053
4	31.4	97.8947368421053
4	31.4	97.719298245614
4	31.4	97.719298245614
5	2	91.0526315789474
5	4	91.0526315789474
5	6	91.0526315789474
5	8	91.0526315789474
5	10	91.0526315789474
5	12	91.0526315789474
5	14	91.0526315789474
5	16	91.0526315789474
5	18	91.0526315789474
5	20	91.0526315789474
5	25	91.0526315789474
5	30	91.0526315789474
5	31.4	91.0526315789474
5	31.4	91.0526315789474
5	31.4	91.0526315789474
5	31.4	91.0526315789474
5	31.4	91.0526315789474
5	31.4	91.0526315789474
