group	x	ymin	ymax
2	10	73.75	73.75
2	12	73.75	73.75
2	14	73.75	73.75
2	16	73.75	78.6458333333334
2	18	73.75	78.6458333333334
2	20	73.75	92.7083333333333
2	25	73.75	92.7083333333333
2	30	80.2083333333333	92.7083333333333
2	31.4	89.5833333333333	92.7083333333333
2	31.4	79.1666666666667	93.75
2	31.4	92.7083333333333	96.875
2	31.4	92.7083333333333	96.875
2	31.4	92.7083333333333	96.875
2	31.4	92.7083333333333	97.9166666666667
1	2	73.75	73.75
1	4	73.75	73.75
1	6	73.75	73.75
1	8	73.75	80.2083333333333
1	10	73.75	73.75
1	12	73.75	73.75
1	14	73.75	73.75
1	16	73.75	73.75
1	18	73.75	76.0416666666667
1	20	73.75	73.75
1	25	73.75	73.75
1	30	73.75	80.2083333333333
1	31.4	73.75	80.2083333333333
1	31.4	73.75	80.2083333333333
1	31.4	73.75	81.25
1	31.4	73.9583333333334	81.25
1	31.4	73.9583333333334	78.125
1	31.4	73.75	75
3	4	73.75	73.75
3	6	73.75	73.75
3	8	73.75	94.0104166666667
3	10	73.75	94.2708333333333
3	12	73.75	94.2708333333333
3	14	73.75	94.2708333333333
3	16	73.75	94.2708333333333
3	18	73.75	95.8333333333333
3	20	73.75	95.8333333333333
3	25	73.75	96.875
3	30	94.7916666666667	96.875
3	31.4	96.875	96.875
3	31.4	95.8333333333333	96.875
3	31.4	96.875	96.875
3	31.4	96.875	96.875
3	31.4	96.875	96.875
3	31.4	96.875	96.875
4	4	73.75	73.75
4	6	73.75	73.75
4	8	73.75	94.7916666666667
4	10	73.75	93.2291666666666
4	12	73.75	93.2291666666666
4	14	73.75	93.2291666666666
4	16	79.9479166666666	95.3125
4	18	92.7083333333333	94.7916666666667
4	20	92.7083333333333	94.7916666666667
4	25	90.625	92.7083333333333
4	30	92.7083333333333	96.875
4	31.4	92.7083333333333	96.875
4	31.4	92.7083333333333	96.875
4	31.4	92.7083333333333	96.875
4	31.4	92.7083333333333	96.875
4	31.4	95.8333333333333	96.875
4	31.4	92.7083333333333	96.875
5	2	82.2916666666667	82.2916666666667
5	4	82.2916666666667	82.2916666666667
5	6	82.2916666666667	82.2916666666667
5	8	82.2916666666667	82.2916666666667
5	10	82.2916666666667	82.2916666666667
5	12	82.2916666666667	82.2916666666667
5	14	82.2916666666667	82.2916666666667
5	16	82.2916666666667	82.2916666666667
5	18	82.2916666666667	82.2916666666667
5	20	82.2916666666667	82.2916666666667
5	25	82.2916666666667	82.2916666666667
5	30	82.2916666666667	82.2916666666667
5	31.4	82.2916666666667	82.2916666666667
5	31.4	82.2916666666667	82.2916666666667
5	31.4	82.2916666666667	82.2916666666667
5	31.4	82.2916666666667	82.2916666666667
5	31.4	82.2916666666667	82.2916666666667
5	31.4	82.2916666666667	82.2916666666667
2	6	73.75	73.75
2	8	73.75	73.75
3	2	73.75	73.75
4	2	73.75	73.75
